Latitude_(deg),Longitude_(deg),Activity_concentration,Distance_from_FDNPP,Total_biomass,Tree_height,Elevation,Mushroom_animal_name_encoded,Variance_type_inv_encoded,Wild_Grown_mushroom_encoded,Leaf/ring_age_encoded,Slope_aspect_encoded,Position_on_slope_encoded,Thickness_type_litter_encoded,Leaf_habit_encoded,Parts_animal_encoded,Mushroom_animal_scientific_name_encoded,Parts_encoded
37.0,140.0,9.741027444837728,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,29
37.0,140.0,4.795790545596741,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,16
37.0,140.0,5.638354669333745,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,16
37.0,140.0,3.6635616461296463,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,16
37.0,140.0,5.25227342804663,20.03,,,460.0,129,1,1,43,7,7,58,1,0,191,16
37.0,140.0,4.875197323201151,20.03,,,460.0,129,1,1,43,7,7,58,1,0,191,16
37.0,140.0,5.3981627015177525,20.03,,,460.0,129,1,1,43,7,7,58,1,0,191,16
37.0,140.0,5.198497031265826,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,16
37.0,140.0,4.060443010546419,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,16
37.0,140.0,4.248495242049359,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,16
37.0,140.0,4.276666119016055,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,33
37.0,140.0,5.017279836814924,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,33
37.0,140.0,3.218875824868201,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,33
37.0,140.0,3.044522437723423,20.03,,,460.0,129,1,1,43,7,7,58,1,0,191,33
37.0,140.0,3.1354942159291497,20.03,,,460.0,129,1,1,43,7,7,58,1,0,191,33
37.0,140.0,3.80666248977032,20.03,,,460.0,129,1,1,43,7,7,58,1,0,191,33
37.0,140.0,4.343805421853684,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,33
37.0,140.0,3.49650756146648,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,33
37.0,140.0,2.833213344056216,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,33
37.0,140.0,3.295836866004329,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,15
37.0,140.0,3.258096538021482,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,15
37.0,140.0,2.19722457733622,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,15
37.0,140.0,0.0,20.03,,,460.0,129,1,1,43,7,7,58,1,0,191,15
37.0,140.0,2.5649493574615367,20.03,,,460.0,129,1,1,43,7,7,58,1,0,191,15
37.0,140.0,4.143134726391533,20.03,,,460.0,129,1,1,43,7,7,58,1,0,191,15
37.0,140.0,2.19722457733622,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,15
37.0,140.0,0.0,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,15
